Job Title,Skills,Experience (Years),Education
AI Researcher,"GANs, PyTorch, Mathematical Modeling, Reinforcement Learning, Python",4,Bachelor's in Computer Science from MIT
Data Scientist,"Pandas, TensorFlow, Python",3,Bachelor's in Computer Science from Oxford
Data Analyst,"Excel, Power BI, Tableau, SQL",1,Bachelor's in Computer Science from IIT Delhi
Data Analyst,"Power BI, Excel, Tableau, SQL",3,Bachelor's in Computer Science from Oxford
AI Researcher,"Python, Mathematical Modeling, GANs",6,Bachelor's in Computer Science from Harvard
Machine Learning Engineer,"PyTorch, Computer Vision, Scikit-Learn, NLP",6,Bachelor's in Computer Science from Oxford
Software Engineer,"Java, Git, C++, OOP",7,Bachelor's in Computer Science from Harvard
Data Analyst,"Excel, SQL, Statistics, Tableau, Power BI",9,Bachelor's in Computer Science from Harvard
Software Engineer,"Git, C++, OOP",6,Bachelor's in Computer Science from Oxford
Data Scientist,"Python, SQL, Machine Learning",2,Bachelor's in Computer Science from Stanford
Software Engineer,"OOP, Java, C++, Git, Docker",6,Bachelor's in Computer Science from Stanford
AI Researcher,"Reinforcement Learning, GANs, PyTorch, Python, Mathematical Modeling",7,Bachelor's in Computer Science from Stanford
Data Scientist,"Pandas, SQL, TensorFlow, Machine Learning, Python",1,Bachelor's in Computer Science from MIT
AI Researcher,"GANs, Mathematical Modeling, PyTorch, Python, Reinforcement Learning",7,Bachelor's in Computer Science from IIT Delhi
AI Researcher,"Mathematical Modeling, Python, GANs",7,Bachelor's in Computer Science from Oxford
Data Scientist,"Python, SQL, Machine Learning, TensorFlow",5,Bachelor's in Computer Science from Oxford
Data Analyst,"Power BI, Excel, SQL, Tableau",8,Bachelor's in Computer Science from Harvard
Data Scientist,"Machine Learning, TensorFlow, Pandas, SQL, Python",3,Bachelor's in Computer Science from Harvard
Software Engineer,"Git, Java, C++",6,Bachelor's in Computer Science from IIT Delhi
Software Engineer,"Docker, C++, Git, Java",2,Bachelor's in Computer Science from Oxford
AI Researcher,"Python, GANs, Mathematical Modeling",4,Bachelor's in Computer Science from Oxford
Data Scientist,"Pandas, SQL, Python, TensorFlow, Machine Learning",6,Bachelor's in Computer Science from Harvard
